"S_nu_CO_cases","S_nu_FR_cases","S_nu_CO_deaths","S_nu_FR_deaths"
-Inf,-Inf,-Inf,-Inf
-Inf,-4.25389361824077,-Inf,-Inf
-Inf,-Inf,-Inf,-Inf
-Inf,-4.16091791030061,-Inf,-Inf
-Inf,-4.11418299286952,-Inf,-Inf
-Inf,-4.38415849585035,-Inf,-Inf
-Inf,-3.92791439115566,-Inf,-Inf
-Inf,-3.96378802558926,-Inf,-Inf
-Inf,-3.79359908490963,-Inf,-3.03376624568117
-Inf,-3.75903266193349,-Inf,-Inf
-Inf,-3.79491611335462,-Inf,-2.78770301277039
-Inf,-3.59862824416107,-Inf,-2.59596688972707
-Inf,-3.57994662189934,-Inf,-Inf
-3.47160051906182,-3.48858122583707,-Inf,-2.51766281136595
-3.41759813899103,-3.43142175604418,-Inf,-2.42981801739803
-3.34825272188412,-3.32447100265434,-Inf,-2.28465932580035
-3.25338092946459,-3.30318467411314,-Inf,-2.22572569620881
-3.15813537546189,-3.27289011180976,-Inf,-2.18895161013507
-3.10269027635243,-3.20183661242657,-Inf,-2.12576598476398
-3.09137870150391,-3.14684481238418,-Inf,-2.05436301479249
-3.05105492129457,-3.08167773197799,-Inf,-1.99526601295223
-3.04002597005998,-3.08154141838122,-Inf,-1.97634913854217
-2.99899165182832,-3.02443668327934,-2.69539161875581,-1.85334089233464
-2.92729851661955,-2.96364876687172,-2.6180475317183,-1.856196849296
-2.86483069985609,-2.95472980278014,-2.58527064639987,-1.8267325744337
-2.83181007162118,-2.88961251103383,-2.58857771639097,-1.75081622008126
-2.82347880729455,-2.8389652434515,-2.52528705246127,-1.79775428029625
-2.81886642155805,-2.85622330740987,-2.49763106936214,-1.7162843712579
-2.78312590499628,-2.7349499115839,-2.4129882759234,-1.73520879354465
-2.76977882420482,-2.76696088738082,-2.35602343293649,-1.67690785630812
-2.71419371468307,-2.69374199122704,-2.33247637127869,-1.67898326669835
-2.66188716892921,-2.67293475844719,-2.28512872334372,-1.72706217923013
-2.64144387848658,-2.64953566188974,-2.29340538983612,-1.69609984798094
-2.63638048035543,-2.55022814727161,-2.31050653091419,-1.69425130235092
-2.61020391208338,-2.65736321529563,-2.25925463071069,-1.69210083050391
-2.61159655088666,-2.48974572395412,-2.25181186218319,-1.70204952795417
-2.60885965208851,-2.49104845581478,-2.17781356052423,-1.67066080086287
-2.54098738647226,-2.47493180584328,-2.12860789490439,-1.72624515487745
-2.52858869962848,-2.4261904830758,-2.09059172595948,-1.73015460709537
-2.50287437148406,-2.47655612676764,-2.07585592556882,-1.69075812779986
