"S_nu_NY_cases","S_nu_NY_deaths"
-3.97777780638533,-4.06218457135299
-3.25241365396571,-3.750316100032
-3.46639767759735,-3.71779175973712
-3.36983362771172,-3.69500471069031
-3.34955014933987,-3.81081184548354
-3.63890796604129,-3.61747270220382
-3.25238290190344,-3.55454849508046
-3.5786837378068,-3.51066523168591
-3.25445207236686,-3.50580894813165
-3.41206937099222,-3.38403821089345
-3.38251146055941,-3.337289472046
-3.29446884475967,-3.28838812722705
-3.39967489346735,-3.20592397269338
-3.21748943545843,-3.17872971522407
-3.46114873004252,-3.13867428222699
-3.19091953502168,-3.13105688771825
-3.31921281222372,-3.04876484691788
-3.24499381770262,-3.03000424777958
-3.2478153206351,-3.02910534627988
-3.3404675709322,-3.01289810283941
-3.16263326945994,-2.97199722228995
-3.35952594156032,-2.97241373222203
-3.14965235140831,-2.96501766670363
-3.27900088391057,-2.95659471339602
-3.24940949865927,-2.94695293000161
-3.21026483049107,-2.96787096213487
-3.29190619721883,-2.96233220632073
-3.15491720741078,-2.94222749647309
-3.3537036546398,-2.96257863712506
-3.17381597417223,-2.99743527005688
-3.27437117160832,-2.9868677094616
-3.24942867547145,-2.98838253672723
-3.21064697416837,-3.00012135786886
-3.3127291343372,-3.04763619856446
-3.17043604289728,-3.05020151914022
-3.36970408036368,-3.07235846724235
-3.15771996663184,-3.07840566787721
-3.28863702626751,-3.1205826626281
-3.27498300209218,-3.12632794718861
-3.2223779922706,-3.1611675281668
