"S_nu_NY_deaths","S_nu_LA_deaths","S_nu_NY_deaths","S_nu_LA_deaths"
-4.01625629657014,-Inf,-4.18547704338888,-Inf
-3.4494908113961,-Inf,-2.84410484990424,-Inf
-3.42397017029735,-Inf,-2.88392346082224,-Inf
-3.40912664511502,-Inf,-3.07546688257457,-Inf
-3.65424637165977,-Inf,-2.90582988947826,-Inf
-3.36024226686272,-Inf,-3.13338213692886,-Inf
-3.39594533422316,-Inf,-2.87470005525348,-Inf
-3.35005117562202,-Inf,-3.18013628811599,-Inf
-3.3995175866921,-Inf,-2.77605956904221,-Inf
-3.28643024984101,-Inf,-3.79559134746945,-Inf
-3.32717692898603,-Inf,-3.00563795258803,-Inf
-3.27545469106446,-Inf,-2.89673480408972,-Inf
-3.24265989062087,-Inf,-3.15519139998795,-Inf
-3.23611976258558,-2.02924903533167,-3.09803358163431,-1.23446368913135
-3.29053909420577,-1.95100981952018,-3.27581601090723,-1.26050576590139
-3.23674211626261,-1.85642647360576,-3.04641205901239,-1.12244315601949
-3.22112472135556,-1.8255825229298,-3.34905724427115,-1.10942686128
-3.22169052291933,-1.81183149661269,-3.08989592185503,-1.14522447983116
-3.24060181519114,-1.73566803314359,-3.62669255969538,-1.07688186409177
-3.17554343176992,-1.68196109098366,-3.34221489790914,-1.02155161168916
-3.21040731350259,-1.61461838047538,-2.97392324397861,-1.1582536448468
-3.21800043084291,-1.60050725743839,-3.28474258373338,-1.0793471737452
-3.20406887257672,-1.57802566834446,-3.48896859490378,-0.978830509280537
-3.14866230435106,-1.50446644246457,-3.3663984060763,-0.915022968429074
-3.16638761829063,-1.45529375888382,-3.49409071474174,-0.961472094789119
-3.1671264896655,-1.42912742023321,-3.51309202685257,-0.894395547046157
-3.15525167569931,-1.38773860071845,-3.33639401005039,-0.876705007781488
-3.13325491784429,-1.38353824708808,-3.40454048509969,-0.866222792934271
-3.14967729706014,-1.32358498968601,-3.51232963134019,-0.885044083653322
-3.15733866957189,-1.30856874987265,-3.11233507764034,-0.801701954450244
-3.14912753255343,-1.28997499957384,-3.34807190765095,-0.785354238927556
-3.15722777633574,-1.22871842606706,-3.53115243397914,-0.830219909464662
-3.13590141324027,-1.21582608686905,-3.50302289327361,-0.778577702417528
-3.12333001786177,-1.18243875783933,-3.59622332631265,-0.724011110758218
-3.13490456122323,-1.20771721363653,-3.64479847760788,-0.740320568897595
-3.16150481258307,-1.18285719199768,-3.55175475225341,-0.744547954043532
-3.14835550476586,-1.11862487756042,-3.60574777904861,-0.716994131397348
-3.11498425988021,-1.08882862498546,-3.81751245822555,-0.658506331602182
-3.13692681517994,-1.08470445446042,-3.43717257024397,-0.680151207913902
-3.14779396772766,-1.12148334183816,-3.54795017705784,-0.668895398281804
