areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-01-07,42066,3039797
overview,United Kingdom,K02000001,2021-01-06,54732,2997731
overview,United Kingdom,K02000001,2021-01-05,63916,2942999
overview,United Kingdom,K02000001,2021-01-04,75593,2879083
overview,United Kingdom,K02000001,2021-01-03,55034,2803490
overview,United Kingdom,K02000001,2021-01-02,60362,2748456
overview,United Kingdom,K02000001,2021-01-01,31805,2688094
overview,United Kingdom,K02000001,2020-12-31,52762,2656289
overview,United Kingdom,K02000001,2020-12-30,70731,2603527
overview,United Kingdom,K02000001,2020-12-29,81459,2532796
overview,United Kingdom,K02000001,2020-12-28,45543,2451337
overview,United Kingdom,K02000001,2020-12-27,47718,2405794
overview,United Kingdom,K02000001,2020-12-26,40343,2358076
overview,United Kingdom,K02000001,2020-12-25,14172,2317733
overview,United Kingdom,K02000001,2020-12-24,31834,2303561
overview,United Kingdom,K02000001,2020-12-23,42266,2271727
overview,United Kingdom,K02000001,2020-12-22,45662,2229461
overview,United Kingdom,K02000001,2020-12-21,47382,2183799
overview,United Kingdom,K02000001,2020-12-20,32461,2136417
overview,United Kingdom,K02000001,2020-12-19,25143,2103956
overview,United Kingdom,K02000001,2020-12-18,35835,2078813
overview,United Kingdom,K02000001,2020-12-17,33875,2042978
overview,United Kingdom,K02000001,2020-12-16,34862,2009103
overview,United Kingdom,K02000001,2020-12-15,33851,1974241
overview,United Kingdom,K02000001,2020-12-14,34702,1940390
overview,United Kingdom,K02000001,2020-12-13,21990,1905688
overview,United Kingdom,K02000001,2020-12-12,19361,1883698
overview,United Kingdom,K02000001,2020-12-11,24089,1864337
overview,United Kingdom,K02000001,2020-12-10,22626,1840248
overview,United Kingdom,K02000001,2020-12-09,21658,1817622
overview,United Kingdom,K02000001,2020-12-08,20806,1795964
overview,United Kingdom,K02000001,2020-12-07,21358,1775158
overview,United Kingdom,K02000001,2020-12-06,13607,1753800
overview,United Kingdom,K02000001,2020-12-05,12769,1740193
overview,United Kingdom,K02000001,2020-12-04,15666,1727424
overview,United Kingdom,K02000001,2020-12-03,15632,1711758
overview,United Kingdom,K02000001,2020-12-02,16451,1696126
overview,United Kingdom,K02000001,2020-12-01,16459,1679675
overview,United Kingdom,K02000001,2020-11-30,18014,1663216
overview,United Kingdom,K02000001,2020-11-29,10682,1645202
overview,United Kingdom,K02000001,2020-11-28,10954,1634520
overview,United Kingdom,K02000001,2020-11-27,14376,1623566
overview,United Kingdom,K02000001,2020-11-26,14586,1609190
overview,United Kingdom,K02000001,2020-11-25,16616,1594604
overview,United Kingdom,K02000001,2020-11-24,16463,1577988
overview,United Kingdom,K02000001,2020-11-23,18761,1561525
overview,United Kingdom,K02000001,2020-11-22,11741,1542764
overview,United Kingdom,K02000001,2020-11-21,12349,1531023
overview,United Kingdom,K02000001,2020-11-20,16851,1518674
overview,United Kingdom,K02000001,2020-11-19,17754,1501823
overview,United Kingdom,K02000001,2020-11-18,20752,1484069
overview,United Kingdom,K02000001,2020-11-17,23157,1463317
overview,United Kingdom,K02000001,2020-11-16,26569,1440160
overview,United Kingdom,K02000001,2020-11-15,16027,1413591
overview,United Kingdom,K02000001,2020-11-14,17998,1397564
overview,United Kingdom,K02000001,2020-11-13,24026,1379566
overview,United Kingdom,K02000001,2020-11-12,24454,1355540
overview,United Kingdom,K02000001,2020-11-11,27356,1331086
overview,United Kingdom,K02000001,2020-11-10,27410,1303730
overview,United Kingdom,K02000001,2020-11-09,31037,1276320
overview,United Kingdom,K02000001,2020-11-08,19949,1245283
overview,United Kingdom,K02000001,2020-11-07,18522,1225334
overview,United Kingdom,K02000001,2020-11-06,23316,1206812
overview,United Kingdom,K02000001,2020-11-05,23746,1183496
overview,United Kingdom,K02000001,2020-11-04,23678,1159750
overview,United Kingdom,K02000001,2020-11-03,25586,1136072
overview,United Kingdom,K02000001,2020-11-02,31512,1110486
overview,United Kingdom,K02000001,2020-11-01,15749,1078974
overview,United Kingdom,K02000001,2020-10-31,16496,1063225
overview,United Kingdom,K02000001,2020-10-30,22693,1046729
overview,United Kingdom,K02000001,2020-10-29,23358,1024036
overview,United Kingdom,K02000001,2020-10-28,23616,1000678
overview,United Kingdom,K02000001,2020-10-27,24114,977062
overview,United Kingdom,K02000001,2020-10-26,26552,952948
overview,United Kingdom,K02000001,2020-10-25,15728,926396
overview,United Kingdom,K02000001,2020-10-24,16240,910668
overview,United Kingdom,K02000001,2020-10-23,21487,894428
overview,United Kingdom,K02000001,2020-10-22,23250,872941
overview,United Kingdom,K02000001,2020-10-21,25463,849691
overview,United Kingdom,K02000001,2020-10-20,25330,824228
overview,United Kingdom,K02000001,2020-10-19,25612,798898
overview,United Kingdom,K02000001,2020-10-18,14188,773286
overview,United Kingdom,K02000001,2020-10-17,14773,759098
overview,United Kingdom,K02000001,2020-10-16,17736,744325
overview,United Kingdom,K02000001,2020-10-15,18441,726589
overview,United Kingdom,K02000001,2020-10-14,19706,708148
overview,United Kingdom,K02000001,2020-10-13,18907,688442
overview,United Kingdom,K02000001,2020-10-12,19456,669535
overview,United Kingdom,K02000001,2020-10-11,12073,650079
overview,United Kingdom,K02000001,2020-10-10,12516,638006
overview,United Kingdom,K02000001,2020-10-09,15734,625490
overview,United Kingdom,K02000001,2020-10-08,18245,609756
overview,United Kingdom,K02000001,2020-10-07,18331,591511
overview,United Kingdom,K02000001,2020-10-06,17074,573180
overview,United Kingdom,K02000001,2020-10-05,16559,556106
overview,United Kingdom,K02000001,2020-10-04,11802,539547
overview,United Kingdom,K02000001,2020-10-03,11557,527745
overview,United Kingdom,K02000001,2020-10-02,13695,516188
overview,United Kingdom,K02000001,2020-10-01,13185,502493
overview,United Kingdom,K02000001,2020-09-30,12559,489308
overview,United Kingdom,K02000001,2020-09-29,10241,476749
overview,United Kingdom,K02000001,2020-09-28,9927,466508
overview,United Kingdom,K02000001,2020-09-27,6973,456581
overview,United Kingdom,K02000001,2020-09-26,6759,449608
overview,United Kingdom,K02000001,2020-09-25,7248,442849
overview,United Kingdom,K02000001,2020-09-24,7605,435601
overview,United Kingdom,K02000001,2020-09-23,7058,427996
overview,United Kingdom,K02000001,2020-09-22,6415,420938
overview,United Kingdom,K02000001,2020-09-21,5601,414523
overview,United Kingdom,K02000001,2020-09-20,5322,408922
overview,United Kingdom,K02000001,2020-09-19,4862,403600
overview,United Kingdom,K02000001,2020-09-18,4960,398738
overview,United Kingdom,K02000001,2020-09-17,4632,393778
overview,United Kingdom,K02000001,2020-09-16,4365,389146
overview,United Kingdom,K02000001,2020-09-15,3553,384781
overview,United Kingdom,K02000001,2020-09-14,3393,381228
overview,United Kingdom,K02000001,2020-09-13,2143,377835
overview,United Kingdom,K02000001,2020-09-12,2669,375692
overview,United Kingdom,K02000001,2020-09-11,3295,373023
overview,United Kingdom,K02000001,2020-09-10,3595,369728
overview,United Kingdom,K02000001,2020-09-09,3331,366133
overview,United Kingdom,K02000001,2020-09-08,3304,362802
overview,United Kingdom,K02000001,2020-09-07,3862,359498
overview,United Kingdom,K02000001,2020-09-06,2446,355636
overview,United Kingdom,K02000001,2020-09-05,2545,353190
overview,United Kingdom,K02000001,2020-09-04,3039,350645
overview,United Kingdom,K02000001,2020-09-03,3099,347606
overview,United Kingdom,K02000001,2020-09-02,2995,344507
overview,United Kingdom,K02000001,2020-09-01,2250,341512
overview,United Kingdom,K02000001,2020-08-31,1502,339262
overview,United Kingdom,K02000001,2020-08-30,1161,337760
overview,United Kingdom,K02000001,2020-08-29,1224,336599
overview,United Kingdom,K02000001,2020-08-28,1627,335375
overview,United Kingdom,K02000001,2020-08-27,1553,333748
overview,United Kingdom,K02000001,2020-08-26,1353,332195
overview,United Kingdom,K02000001,2020-08-25,1247,330842
overview,United Kingdom,K02000001,2020-08-24,1272,329595
overview,United Kingdom,K02000001,2020-08-23,825,328323
overview,United Kingdom,K02000001,2020-08-22,826,327498
overview,United Kingdom,K02000001,2020-08-21,1194,326672
overview,United Kingdom,K02000001,2020-08-20,1464,325478
overview,United Kingdom,K02000001,2020-08-19,1242,324014
overview,United Kingdom,K02000001,2020-08-18,1083,322772
overview,United Kingdom,K02000001,2020-08-17,1285,321689
overview,United Kingdom,K02000001,2020-08-16,598,320404
overview,United Kingdom,K02000001,2020-08-15,697,319806
overview,United Kingdom,K02000001,2020-08-14,1163,319109
overview,United Kingdom,K02000001,2020-08-13,1149,317946
overview,United Kingdom,K02000001,2020-08-12,1208,316797
overview,United Kingdom,K02000001,2020-08-11,1338,315589
overview,United Kingdom,K02000001,2020-08-10,1473,314251
overview,United Kingdom,K02000001,2020-08-09,615,312778
overview,United Kingdom,K02000001,2020-08-08,697,312163
overview,United Kingdom,K02000001,2020-08-07,942,311466
overview,United Kingdom,K02000001,2020-08-06,1085,310524
overview,United Kingdom,K02000001,2020-08-05,1062,309439
overview,United Kingdom,K02000001,2020-08-04,1022,308377
overview,United Kingdom,K02000001,2020-08-03,1043,307355
overview,United Kingdom,K02000001,2020-08-02,555,306312
overview,United Kingdom,K02000001,2020-08-01,542,305757
overview,United Kingdom,K02000001,2020-07-31,675,305215
overview,United Kingdom,K02000001,2020-07-30,924,304540
overview,United Kingdom,K02000001,2020-07-29,1038,303616
overview,United Kingdom,K02000001,2020-07-28,842,302578
overview,United Kingdom,K02000001,2020-07-27,856,301736
overview,United Kingdom,K02000001,2020-07-26,557,300880
overview,United Kingdom,K02000001,2020-07-25,523,300323
overview,United Kingdom,K02000001,2020-07-24,774,299800
overview,United Kingdom,K02000001,2020-07-23,798,299026
overview,United Kingdom,K02000001,2020-07-22,797,298228
overview,United Kingdom,K02000001,2020-07-21,784,297431
overview,United Kingdom,K02000001,2020-07-20,811,296647
