"MCLE_SCL_cases_surr","MCLE_CL_deaths_surr"
-1.44629688069467,-2.14568746962397
-1.78894258922865,-1.95262123763869
-1.91157748522887,-1.95182789377323
-2.04492847103753,-1.89519893327541
-2.11527539393012,-2.0107805848335
-1.51213167470458,-1.96466141698961
-1.72270867980501,-1.99251747079573
-2.25025254215713,-2.07853805928936
-1.57498638447092,-1.95603411268566
-1.89372599438397,-2.29188385664302
-1.63017508580872,-1.62540236212533
-2.25328696841664,-1.93664309810277
-1.87944822131977,-2.2940503442864
-2.05462453355883,-1.87945555231316
-1.83017210289477,-1.67072232878665
-1.8665683078589,-1.81191267343549
-1.66869371758797,-1.80072122098533
-2.03701103407438,-2.07636061224616
-2.09549633469393,-1.73694505722966
-1.99019575222119,-2.0656942131137
-1.69847042646416,-2.16526201165391
-1.93738529702901,-1.81993044457839
-1.74856264340045,-1.9148112646208
-2.04821452245153,-2.07155616329197
-1.63062008688999,-1.77814563132538
-1.79498936469973,-2.00199636282866
-1.81508854010415,-1.77442475668455
-2.00303584837248,-1.97812287961403
-1.82874864889191,-2.12859595068696
-1.66756334487812,-2.02005149391016
-1.92587272970035,-2.12931581770236
-1.84965872262957,-2.02811927948993
-2.14455905348457,-1.78705229331525
-1.95765070379226,-2.21483805420064
-2.09408310483424,-1.95490573517051
-2.06159482309541,-2.11514974665392
-1.81041437267455,-2.02299247032533
-1.94695499216974,-1.88574219978422
-1.91719684172387,-1.99193005756315
-1.7853724914164,-1.67018554202336
-2.1256034000541,-1.86653416831619
-1.70308111282676,-2.07186041940857
-2.00935296853161,-1.93370618971785
-2.03357695464312,-1.84027925365965
-1.95996997293899,-2.01912680654391
-2.16733964687533,-1.73138069221903
-1.87297517078803,-1.96907296304299
-1.91210870400265,-1.66493443906603
-1.76945742065999,-1.90615339964051
-1.91530856250577,-2.16706179337739
-1.59391243884937,-2.09552567550576
-2.09716197850722,-1.80437834871554
-1.92216582357447,-2.1009325338625
-1.71802793613675,-2.08372802796218
-1.97333452946895,-1.99621662852881
-1.57270416425256,-1.78342714940322
-1.80571318330271,-1.94000705835929
-1.93163750590849,-2.01744814231472
-1.80332258481535,-1.73780298594673
-1.73347905584883,-2.01544389125837
-1.89423485898479,-1.89123024350004
-1.67187550221437,-1.90272270861455
-1.85034384900181,-1.99275834573084
-1.66641182099576,-1.87994072551004
-1.9470916855514,-2.1549453812438
-2.04597087201342,-1.90415643699033
-1.93480932197521,-2.0375588726368
-2.14431818868019,-1.8869886163259
-1.99298923680048,-2.01852115823433
-2.02131527338663,-2.19989974066225
-1.75951362282174,-2.05586295263902
-1.81871777425184,-2.11457556268605
-2.15612640099955,-2.1002016880801
-1.91446703684279,-1.88158588672533
-1.81163204488556,-1.87172348036544
-1.86966703779323,-1.94072386539258
-1.92638469815506,-1.98133179038227
-1.8714216117141,-1.94035962977035
-2.00780625861585,-1.89786912767416
-1.90352468287973,-2.02225503407352
-2.13238897540768,-2.07230796915061
-1.8549336982348,-1.83533282354974
-1.95889881419939,-1.47207485267869
-1.42756777999424,-1.7349773692379
-2.07001213008619,-2.07581830805368
-1.83879721410816,-2.0655319312291
-2.063504683498,-1.9695336572709
-1.85371007673466,-2.14235571655181
-2.03710383558936,-1.82811310976854
-2.05926764227589,-2.08365458015703
-1.91208802309693,-2.06040702250135
-1.80833719991055,-1.76386513645515
-1.66398740978839,-1.71513819831368
-1.91318713956451,-2.06351620417301
-2.01876146271383,-1.85516939910909
-1.70481219080999,-1.76423945004759
-1.76650714607146,-1.94587649274677
-2.13321881096045,-1.79500864736281
-1.99779104465912,-2.07570759448019
-1.9235054770798,-1.9401271111077
