"S_nu_FR_cases","S_nu_FR_deaths"
-4.19324475912961,-3.06583772766545
-3.30283151378938,-2.25380445906907
-3.19750784472735,-2.09590179529601
-3.1786916589961,-2.04374479668844
-3.16349706918874,-2.03208053170625
-3.46999408326134,-2.30189789477682
-3.11896822686125,-2.0314044899854
-3.07535027971816,-1.98021887778739
-3.01548119696659,-1.83480242253137
-2.96246153086302,-1.79703840908603
-3.00872952871478,-1.81084542036921
-2.88230069045113,-1.68642459992573
-2.83274903698027,-1.6823499260055
-2.81714370324202,-1.66121292875031
-2.77343534944241,-1.6100688170888
-2.70881641255227,-1.53200635630416
-2.6983655719829,-1.48958012935503
-2.6531489276143,-1.45983241608722
-2.637387112399,-1.45815388552053
-2.59763183350226,-1.43791978178794
-2.55746711064238,-1.42200898399856
-2.53883677239455,-1.33848659950829
-2.52770383401909,-1.30026482491723
-2.47864090482057,-1.3173205448245
-2.4700017079056,-1.27372951027704
-2.44089240674302,-1.29206155328179
-2.40182391682018,-1.25555993648657
-2.38744386376962,-1.23303056228752
-2.3450772007086,-1.19870639564491
-2.33517431008918,-1.13924211343917
-2.30323944114535,-1.16777754591325
-2.26534475047454,-1.13630532793588
-2.26413768881204,-1.13523808338167
-2.22632750402797,-1.11929449106053
-2.20832215129785,-1.06226219278072
-2.16478001845821,-1.06567412114376
-2.12071432029863,-1.03580728207858
-2.12259588398811,-1.02919248857037
-2.11322655633137,-1.01974239605828
-2.07623885279311,-0.987245215706654
-2.02968399882805,-0.981957190312805
-1.97655122633411,-0.952555299958257
-1.96788844246806,-0.934709458300207
-1.95857130401663,-0.918220343536138
-1.93513834813517,-0.908366632322607
-1.88448879255696,-0.902803010842855
-1.84763855277682,-0.873606025894312
-1.82466564001556,-0.856065466458628
-1.80122998261785,-0.840320406892193
-1.78685444881947,-0.820397781993514
