"S_nu_SCL_cases","S_nu_CL_cases","S_nu_SCL_cases_icovid","S_nu_SCL_deaths","S_nu_CL_deaths"
-3.20611710570129,-2.96018948741211,-3.56357079269721,-2.904092310129,-2.81692643674095
-2.65663920208486,-2.43022944391933,-2.95234293864202,-2.32720698388371,-2.26075345234074
-2.57074093153285,-2.32716759958591,-2.85371892661514,-2.30159017560437,-2.2424529768206
-2.5927615599262,-2.33691811822426,-2.89677953292301,-2.32212310322996,-2.20605207475096
-2.7475447679361,-2.52913359090753,-3.09057324335581,-2.61370091455228,-2.19143458395359
-2.47055453974768,-2.25739762955784,-2.7711416801009,-2.23977344739221,-2.21427741752535
-2.4625106770893,-2.23401583063432,-2.76588345897222,-2.22996811000708,-2.49116572430895
-2.47013785577553,-2.23302791587315,-2.80647734203765,-2.21215141252749,-2.14690354426995
-2.42043160402598,-2.2313180944368,-2.77640625191303,-2.35152177494551,-2.1357971834862
-2.27073417618962,-2.09433852032812,-2.57912822339752,-2.14959612708553,-2.06866892073411
-2.30472501545834,-2.09153948606396,-2.62183640094295,-2.12159735349084,-2.06351728236733
-2.2404755656467,-2.0398319028922,-2.58218051105591,-2.06642909564937,-2.06010826290965
-2.17114372184667,-1.97580161445567,-2.51246242129102,-2.11513644940734,-2.16676937014563
-2.13312376816325,-1.97974347318398,-2.43955128139612,-2.03222271288277,-1.97373796458035
-2.17862808486615,-2.00429505437189,-2.51196388949419,-1.97431357476666,-1.98269412561682
-2.10277920754272,-1.91364234315143,-2.43681506108273,-1.90092009186453,-1.90858302234557
-2.06355419573572,-1.88098359649639,-2.3808526293245,-1.89308310656569,-1.88470941103543
-2.05252435188296,-1.90069759150967,-2.36362683950283,-1.923830844142,-1.87432038494245
-2.04522954000349,-1.88936692602651,-2.3834873535958,-1.84063833673216,-1.881798759477
-1.98108063888968,-1.82082874109467,-2.30647600379964,-1.78420731352223,-1.78569278784635
-1.98695512543834,-1.82212922434309,-2.30938650746912,-1.77206457292433,-1.81260654778837
-1.99222536881552,-1.84528558686363,-2.32112361737085,-1.81502599297239,-1.75247354200703
-1.94283308273354,-1.8069963003646,-2.2954055462933,-1.72276264036231,-1.74378562215753
-1.9179708861434,-1.75704345947759,-2.23063050449837,-1.6890768902308,-1.71951306003848
-1.88782487160535,-1.76633621154361,-2.21867117066382,-1.65669135531919,-1.66177035106982
-1.85596127646286,-1.74835997096901,-2.18519292362637,-1.6826525315084,-1.64588738035087
-1.82587515644337,-1.72617630172409,-2.15266447045625,-1.60968539284477,-1.66116285756662
-1.85731772878176,-1.69812857278859,-2.14979829751425,-1.61537714785534,-1.61284188462703
-1.81438778227083,-1.71800482927031,-2.12787490482898,-1.58129985496684,-1.6204292184873
-1.75586636393352,-1.65727417663852,-2.06056476589224,-1.5667779849183,-1.62675249669659
-1.74629722158036,-1.6772642761633,-2.03709246951309,-1.52923442171684,-1.59072403269438
-1.75839829482303,-1.64562220921645,-2.04074889012097,-1.58618790442918,-1.5746740256191
-1.71220166159491,-1.64150065758738,-1.98132524258138,-1.53937588422372,-1.56644656379475
-1.67944554418818,-1.60507222867395,-1.9370460885397,-1.50060398911952,-1.54149943172359
-1.68297711695757,-1.6451119984932,-1.9212434434292,-1.49200246158197,-1.5558428706912
-1.7159533802769,-1.6475822352981,-1.96028069354609,-1.55919301328933,-1.56963883086524
-1.66564995575545,-1.61896882007091,-1.87671253911517,-1.51596276276702,-1.5454417785695
-1.66309399440883,-1.61434767779199,-1.86270253521263,-1.46567331096582,-1.52744360354408
-1.6554549911862,-1.63471543717862,-1.85729527171164,-1.476228818746,-1.51999317425957
-1.66982008392141,-1.64879349628555,-1.87144970902952,-1.54901660959951,-1.51794450963296
