"S_nu_UK_cases","S_nu_UK_deaths"
-5.14390777305617,-3.53259136787326
-4.69433984897735,-3.26945354662889
-4.53033721440896,-3.28566929838136
-4.37102856210596,-3.2913027471197
-4.31665336046689,-3.26400749122216
-4.37849221881721,-3.24855378369428
-4.21971321691769,-3.19675615779492
-4.15903654798342,-3.18048808493488
-3.94062464866575,-3.28087016498422
-3.85349701570786,-3.14269832204155
-3.76495714902333,-3.13545493550469
-3.67672276069095,-3.14093584358106
-3.64521450923182,-3.09237054106227
-3.5477620242436,-3.05330256365451
-3.5055647390252,-3.01925073001056
-3.3649261302187,-3.00505655349755
-3.31552186896982,-3.03443227516766
-3.25425361358811,-2.97721692526774
-3.19878232433647,-2.95020807478121
-3.18105986870191,-2.94720657433277
-3.08554306087328,-2.9094984564423
-3.05489823180155,-2.88654103198435
-2.96672068359136,-2.85163602978913
-2.93208159301784,-2.85155861832257
-2.89328476839882,-2.83771163451689
-2.83058033038207,-2.8243322928894
-2.81163316165169,-2.79879913712176
-2.74378877408275,-2.784979510681
-2.71321560216221,-2.76597566705011
-2.65294650003399,-2.73614666969789
-2.60812250117201,-2.6886759733659
-2.57406874853947,-2.71178425955185
-2.52728774347586,-2.68312521611206
-2.50376335814118,-2.67053142041238
-2.46208172849285,-2.63845600814737
-2.43508284060097,-2.63435413658415
-2.38796985324696,-2.62140631296745
-2.36103753762244,-2.58265034709218
-2.33444382877792,-2.55203312134708
-2.31488320850843,-2.55318360785997
-2.29976498985868,-2.54716035360338
-2.26957909092273,-2.52120847535147
-2.25135835666902,-2.510206549087
-2.22450011955229,-2.49692929495696
-2.22539710812528,-2.48221324352684
-2.22033666949198,-2.45390226244084
-2.20133635496989,-2.44454379103015
-2.18500736061183,-2.42988927309736
-2.16375797211319,-2.40684585826027
-2.15981043981036,-2.3981317773872
