"S_nu_lowest_sp_deaths","S_nu_low_sp_deaths","S_nu_middle_sp_deaths","S_nu_high_sp_deaths","S_nu_highest_sp_deaths"
-Inf,-2.91035923547801,-Inf,-Inf,-Inf
-1.64825967756462,-1.99653006974047,-1.99513505621877,-Inf,-1.73198310273689
-1.66243586989832,-1.99781213544831,-2.00242191543695,-Inf,-1.75465458183431
-1.61760810844603,-1.95425904418299,-1.98883307979674,-Inf,-1.73427195842297
-2.17701382285537,-1.93275163208152,-1.93212073850046,-2.09758503213381,-Inf
-1.60113454378823,-2.27683939725441,-2.34993901498777,-2.5204262440408,-1.67777590667264
-1.61004471277519,-1.86047809493484,-1.93067882593849,-2.06875712585561,-Inf
-1.56017304510947,-1.87994588870593,-1.859594422606,-2.07581342961906,-1.67988374082162
-1.72297266458173,-1.80592674684859,-1.86011425253934,-1.9385663291535,-1.65761416169992
-1.51481559610985,-1.79094084253361,-1.78855122720118,-1.96274909362978,-1.61616706099414
-1.48065256532523,-1.90484672175588,-1.89465539386127,-2.04692225999815,-1.61322583204855
-1.48600373369014,-1.71493019705771,-1.77429026656284,-1.9084966957465,-1.56475265486453
-1.41495570545041,-1.70161917325065,-1.68124252958517,-1.89512448888322,-1.76755115761236
-1.4172477556771,-1.66294754238499,-1.65439140536747,-1.79107349471507,-1.5458801862072
-1.36422158926021,-1.6190851128841,-1.60597455198263,-1.78975270473502,-1.49509593894256
-1.36892237319298,-1.60560122069498,-1.55294851221517,-1.72733448280497,-1.45851800820639
-1.2851578213151,-1.54269890064975,-1.55582370309352,-1.75295948750046,-1.47586166489265
-1.27280625038879,-1.53400619499519,-1.45928595315619,-1.69751964468101,-1.42118560300722
-1.23225597619355,-1.52648496460008,-1.45149846299621,-1.66870564496835,-1.43712428928335
-1.23202260568645,-1.47944736409644,-1.43405934842361,-1.60646489620852,-1.43346420280111
-1.16454084440137,-1.45871345463637,-1.38212798825027,-1.60898334568024,-1.38785916031735
-1.14477341714724,-1.41257486111206,-1.34556631909465,-1.60126116725073,-1.34778061662706
-1.14554645673601,-1.38433636766183,-1.2769535668447,-1.52871988670405,-1.34843760794318
-1.10549875126396,-1.40454031374306,-1.27678394960428,-1.5523001238873,-1.31584727937533
-1.05296718364594,-1.35399150754247,-1.26067141019791,-1.47513600441829,-1.31605960166411
-1.03449581152918,-1.33539429685422,-1.23790908408534,-1.51530613737263,-1.33261140518206
-1.04017299071431,-1.29691711846282,-1.1831452207596,-1.49062069233007,-1.29973672215581
-1.00888266454936,-1.27899621872502,-1.16761291429439,-1.43781131523069,-1.28435332117123
-0.970269578430474,-1.32361871725335,-1.15481131663054,-1.45716643989252,-1.27666222005371
-0.956744164895211,-1.25212658048466,-1.15434420194521,-1.40132779402123,-1.23974287221817
-0.963690379317187,-1.26749365974487,-1.13173622496377,-1.46266221265125,-1.24562557620761
-0.933833398041728,-1.23939301368361,-1.09255528963504,-1.42550248078407,-1.24454465445558
-0.908081381421742,-1.20539921628084,-1.11449321770685,-1.40318137710783,-1.26100030741452
-0.897982495654957,-1.24091016803077,-1.08035877069601,-1.39910158250915,-1.24013165402378
-0.922495497384025,-1.18892303632854,-1.09220049611708,-1.41560382518567,-1.25993384403281
-0.885882939155091,-1.23270300106791,-1.07895579641094,-1.43976714820874,-1.22714143733147
-0.887419574137345,-1.1959983284497,-1.05579482299782,-1.40135924180618,-1.22670669029386
-0.869700849858079,-1.16773264420045,-1.08826693110339,-1.40977726485715,-1.21805870623819
-0.894957038716998,-1.19698237291056,-1.05119636732867,-1.40489362383956,-1.24368785903265
-0.862602590806857,-1.15961990499283,-1.07408752614585,-1.46053870780495,-1.24823182275673
-0.873779462564119,-1.20253624012682,-1.06786037399454,-1.45111488195423,-1.27241388211013
-0.858488814309671,-1.18554314466652,-1.06019744464665,-1.44154432270147,-1.26228134736247
-0.890646237227871,-1.16738991054588,-1.08503346386139,-1.44734969905269,-1.24774982572513
-0.88748903883122,-1.19869922328773,-1.06831723301174,-1.46144546100762,-1.22994234535426
-0.876366604654381,-1.18225510590998,-1.07621853633223,-1.52504564044018,-1.27017249069062
-0.871500882745424,-1.21911384628532,-1.0815557545179,-1.47886166138725,-1.27405068404409
-0.8827260353606,-1.21118174162259,-1.0976902650625,-1.52931422715779,-1.31764175400938
-0.902673792769464,-1.21778049053026,-1.11928286557137,-1.50182753389114,-1.29233298888686
-0.903011227691964,-1.24597499953403,-1.12231894512769,-1.54155718110114,-1.29802579690886
-0.911087101734124,-1.24158904177726,-1.13270293929264,-1.61812694487736,-1.29520693899462
